listing_id,neighbourhood,room_type,price_per_night,availability_365,number_of_reviews,reviews_per_month,occupancy_rate,estimated_monthly_revenue
10001,Juarez,Entire home/apt,235,293,149,5.5,0.19726027397260273,1390.6849315068494
10002,Centro Historico,Private room,69,219,339,3.5,0.4,828.0
10003,Coyoacan,Entire home/apt,250,313,128,2.78,0.14246575342465753,1068.4931506849314
10004,Juarez,Entire home/apt,99,305,437,4.91,0.1643835616438356,488.2191780821918
10005,Condesa,Entire home/apt,42,106,500,4.1,0.7095890410958904,894.0821917808219
10006,Narvarte,Private room,110,217,57,1.1,0.4054794520547945,1338.0821917808219
10007,Coyoacan,Entire home/apt,208,146,197,4.93,0.6,3744.0
10008,Coyoacan,Entire home/apt,81,193,210,2.57,0.4712328767123288,1145.0958904109589
10009,Juarez,Private room,49,85,44,1.13,0.7671232876712328,1127.6712328767123
10010,Polanco,Private room,181,296,96,1.69,0.18904109589041096,1026.4931506849316
10011,Condesa,Entire home/apt,60,151,278,1.61,0.5863013698630137,1055.3424657534247
10012,Juarez,Entire home/apt,127,246,534,3.12,0.32602739726027397,1242.1643835616437
10013,Condesa,Entire home/apt,266,34,409,1.41,0.9068493150684932,7236.657534246576
10014,Condesa,Private room,55,299,460,0.74,0.18082191780821918,298.35616438356163
10015,Narvarte,Entire home/apt,72,76,390,0.74,0.7917808219178082,1710.2465753424656
10016,Coyoacan,Entire home/apt,191,259,43,3.5,0.29041095890410956,1664.0547945205478
10017,Centro Historico,Private room,213,127,26,4.41,0.6520547945205479,4166.630136986301
10018,Narvarte,Private room,166,82,96,1.93,0.7753424657534247,3861.205479452055
10019,Narvarte,Entire home/apt,62,291,547,0.21,0.20273972602739726,377.09589041095893
10020,Condesa,Private room,294,19,566,0.76,0.947945205479452,8360.876712328767
10021,Del Valle,Entire home/apt,110,220,218,5.49,0.3972602739726027,1310.958904109589
10022,Coyoacan,Private room,101,332,184,2.96,0.09041095890410959,273.94520547945206
10023,Polanco,Entire home/apt,228,161,68,2.72,0.5589041095890411,3822.904109589041
10024,Narvarte,Entire home/apt,196,14,129,0.23,0.9616438356164384,5654.465753424658
10025,Centro Historico,Private room,291,204,566,4.37,0.4410958904109589,3850.7671232876714
10026,Del Valle,Entire home/apt,106,292,598,3.17,0.2,636.0
10027,Del Valle,Entire home/apt,121,122,333,1.21,0.6657534246575343,2416.6849315068494
10028,Polanco,Private room,296,280,153,0.66,0.2328767123287671,2067.945205479452
10029,Narvarte,Private room,248,172,546,2.3,0.5287671232876713,3934.0273972602745
10030,Centro Historico,Entire home/apt,187,114,78,5.02,0.6876712328767123,3857.835616438356
10031,Coyoacan,Entire home/apt,244,190,578,5.19,0.4794520547945205,3509.58904109589
10032,Roma Norte,Entire home/apt,95,53,412,3.62,0.8547945205479452,2436.164383561644
10033,Centro Historico,Entire home/apt,296,291,545,4.37,0.20273972602739726,1800.3287671232877
10034,Polanco,Entire home/apt,252,184,168,0.69,0.4958904109589041,3748.931506849315
10035,Del Valle,Entire home/apt,170,171,582,3.53,0.5315068493150685,2710.6849315068494
10036,Coyoacan,Private room,127,360,514,4.0,0.0136986301369863,52.1917808219178
10037,Centro Historico,Entire home/apt,143,349,313,1.2,0.043835616438356165,188.05479452054794
10038,Roma Norte,Entire home/apt,275,149,31,5.28,0.5917808219178082,4882.191780821918
10039,Roma Norte,Entire home/apt,176,141,286,1.17,0.6136986301369863,3240.328767123288
10040,Condesa,Private room,271,96,593,1.88,0.736986301369863,5991.698630136986
10041,Condesa,Entire home/apt,211,185,42,3.72,0.4931506849315068,3121.643835616438
10042,Juarez,Entire home/apt,175,192,0,3.83,0.473972602739726,2488.3561643835615
10043,Polanco,Entire home/apt,223,138,572,4.2,0.6219178082191781,4160.630136986301
10044,Narvarte,Entire home/apt,83,255,269,0.67,0.3013698630136986,750.4109589041095
10045,Centro Historico,Entire home/apt,224,98,179,5.1,0.7315068493150685,4915.726027397261
10046,Centro Historico,Private room,170,75,517,3.2,0.7945205479452054,4052.0547945205476
10047,Narvarte,Private room,77,167,102,2.83,0.5424657534246575,1253.0958904109589
10048,Juarez,Entire home/apt,124,158,9,5.89,0.5671232876712329,2109.698630136986
10049,Del Valle,Entire home/apt,279,349,582,4.44,0.043835616438356165,366.9041095890411
10050,Del Valle,Private room,226,125,89,0.71,0.6575342465753424,4458.082191780822
10051,Juarez,Entire home/apt,140,223,225,4.54,0.38904109589041097,1633.972602739726
10052,Del Valle,Entire home/apt,267,303,125,0.57,0.16986301369863013,1360.6027397260273
10053,Condesa,Entire home/apt,299,262,208,0.16,0.2821917808219178,2531.2602739726026
10054,Centro Historico,Entire home/apt,71,152,96,2.42,0.5835616438356165,1242.9863013698632
10055,Juarez,Entire home/apt,75,259,73,5.96,0.29041095890410956,653.4246575342465
10056,Centro Historico,Private room,51,311,190,1.05,0.14794520547945206,226.35616438356166
10057,Narvarte,Private room,93,34,55,4.04,0.9068493150684932,2530.109589041096
10058,Roma Norte,Private room,217,286,552,1.04,0.21643835616438356,1409.013698630137
10059,Condesa,Entire home/apt,75,79,31,4.35,0.7835616438356164,1763.013698630137
10060,Coyoacan,Entire home/apt,73,122,526,3.03,0.6657534246575343,1458.0
10061,Condesa,Private room,226,121,573,4.08,0.6684931506849315,4532.3835616438355
10062,Juarez,Private room,181,312,283,1.22,0.14520547945205478,788.4657534246575
10063,Coyoacan,Entire home/apt,161,100,493,4.47,0.726027397260274,3506.7123287671234
10064,Roma Norte,Private room,80,27,186,5.97,0.9260273972602739,2222.4657534246576
10065,Juarez,Private room,79,158,497,3.99,0.5671232876712329,1344.0821917808219
10066,Polanco,Entire home/apt,35,236,441,2.96,0.35342465753424657,371.0958904109589
10067,Centro Historico,Entire home/apt,202,223,129,5.54,0.38904109589041097,2357.5890410958905
10068,Roma Norte,Entire home/apt,142,160,291,0.1,0.5616438356164384,2392.6027397260277
10069,Centro Historico,Entire home/apt,53,201,113,4.38,0.44931506849315067,714.4109589041095
10070,Del Valle,Entire home/apt,106,49,198,5.33,0.8657534246575342,2753.095890410959
10071,Polanco,Private room,143,251,12,0.37,0.31232876712328766,1339.890410958904
10072,Polanco,Entire home/apt,274,147,270,2.7,0.5972602739726027,4909.479452054795
10073,Roma Norte,Entire home/apt,124,354,214,1.23,0.030136986301369864,112.1095890410959
10074,Polanco,Entire home/apt,137,189,443,3.4,0.4821917808219178,1981.8082191780823
10075,Coyoacan,Entire home/apt,284,209,511,3.9,0.4273972602739726,3641.4246575342468
10076,Polanco,Private room,42,212,446,1.82,0.4191780821917808,528.1643835616438
