listing_id,neighbourhood,price_per_night,occupancy_rate,estimated_monthly_revenue,roi_score
10001,Juarez,235,0.19726027397260273,1390.6849315068494,0.1856359455239693
10002,Centro Historico,69,0.4,828.0,0.32603741291870064
10003,Coyoacan,250,0.14246575342465753,1068.4931506849314,0.1397077399305259
10004,Juarez,99,0.1643835616438356,488.2191780821918,0.21326423263261685
10005,Condesa,42,0.7095890410958904,894.0821917808219,0.4434861466582226
10006,Narvarte,110,0.4054794520547945,1338.0821917808219,0.33037238228851673
10007,Coyoacan,208,0.6,3744.0,0.4666504941773947
10008,Coyoacan,81,0.4712328767123288,1145.0958904109589,0.35867543531614915
10009,Juarez,49,0.7671232876712328,1127.6712328767123,0.47032053172081745
10010,Polanco,181,0.18904109589041096,1026.4931506849316,0.19775186412488488
10011,Condesa,60,0.5863013698630137,1055.3424657534247,0.40292421051409766
10012,Juarez,127,0.32602739726027397,1242.1643835616437,0.2888397040652603
10013,Condesa,266,0.9068493150684932,7236.657534246576,0.728396148392066
10014,Condesa,55,0.18082191780821918,298.35616438356163,0.23657358210240723
10015,Narvarte,72,0.7917808219178082,1710.2465753424656,0.4968846321011485
10016,Coyoacan,191,0.29041095890410956,1664.0547945205478,0.2599150560372967
10017,Centro Historico,213,0.6520547945205479,4166.630136986301,0.504276589800166
10018,Narvarte,166,0.7753424657534247,3861.205479452055,0.5557379631377241
10019,Narvarte,62,0.20273972602739726,377.09589041095893,0.24329361397217814
10020,Condesa,294,0.947945205479452,8360.876712328767,0.7886163406800271
10021,Del Valle,110,0.3972602739726027,1310.958904109589,0.32623824085055236
10022,Coyoacan,101,0.09041095890410959,273.94520547945206,0.17647799023619162
10023,Polanco,228,0.5589041095890411,3822.904109589041,0.4452479446408236
10024,Narvarte,196,0.9616438356164384,5654.465753424658,0.6988493727134266
10025,Centro Historico,291,0.4410958904109589,3850.7671232876714,0.36841198560120786
10026,Del Valle,106,0.2,636.0,0.22827962068506785
10027,Del Valle,121,0.6657534246575343,2416.6849315068494,0.4668803360055219
10028,Polanco,296,0.2328767123287671,2067.945205479452,0.1957439872612065
10029,Narvarte,248,0.5287671232876713,3934.0273972602745,0.429125012027062
10030,Centro Historico,187,0.6876712328767123,3857.835616438356,0.5144502319135625
10031,Coyoacan,244,0.4794520547945205,3509.58904109589,0.39156849516106496
10032,Roma Norte,95,0.8547945205479452,2436.164383561644,0.5437298220851716
10033,Centro Historico,296,0.20273972602739726,1800.3287671232877,0.17067210159911295
10034,Polanco,252,0.4958904109589041,3748.931506849315,0.40539709457039524
10035,Del Valle,170,0.5315068493150685,2710.6849315068494,0.4100273995669558
10036,Coyoacan,127,0.0136986301369863,52.1917808219178,0.12235224860396181
10037,Centro Historico,143,0.043835616438356165,188.05479452054794,0.1289548686953405
10038,Roma Norte,275,0.5917808219178082,4882.191780821918,0.4863961536378647
10039,Roma Norte,176,0.6136986301369863,3240.328767123288,0.4625888798250505
10040,Condesa,271,0.736986301369863,5991.698630136986,0.5992664057700654
10041,Condesa,211,0.4931506849315068,3121.643835616438,0.39499787918998835
10042,Juarez,175,0.473972602739726,2488.3561643835615,0.3758300569343639
10043,Polanco,223,0.6219178082191781,4160.630136986301,0.48793814920692125
10044,Narvarte,83,0.3013698630136986,750.4109589041095,0.2816764198766356
10045,Centro Historico,224,0.7315068493150685,4915.726027397261,0.5655853166814587
10046,Centro Historico,170,0.7945205479452054,4052.0547945205476,0.5702285249189865
10047,Narvarte,77,0.5424657534246575,1253.0958904109589,0.38968950081013765
10048,Juarez,124,0.5671232876712329,2109.698630136986,0.41635412944834693
10049,Del Valle,279,0.043835616438356165,366.9041095890411,0.0485282176682754
10050,Del Valle,226,0.6575342465753424,4458.082191780822,0.5144523099382692
10051,Juarez,140,0.38904109589041097,1633.972602739726,0.32267794470693023
10052,Del Valle,267,0.16986301369863013,1360.6027397260273,0.15400720010815364
